smiles,Is_Final_Top,Filter_Status,Active_Set,Data_Source_Status,Reward,R0,R_DFT,R_total,dft_effect,pIC50,QED,Lipinski_Pass,Violations,MW,LogP,HBD,HBA,RotBonds,TPSA,hERG_Prob,hERG_Risk,R_ADMET,R_global,EHOMO_ev,ELUMO_ev,gap_ev,PySCF_Gap_eV,PySCF_Dipole_Debye,PySCF_HOMO_eV,PySCF_LUMO_eV,PySCF_Energy_Eh,restart,step,SA,LogP_Penalty,esp_min,status,gap_score,esp_score,rank_R0,rank_total,delta_rank,MW.1,LogP.1,QED.1,Calc_Method,Gap_Median,Gap_MAD,Gap_RZ,Gap_HardFail,Gap_Penalty,R_gap,Dip_Median,Dip_MAD,Dip_P90,Dip_SoftThr,Dip_HardThr,Dipole_HardFail,Dip_Penalty,R_dip,Physical_HardFail,R_conf,R_phys,R_global2,name,Broad_Spectrum_Score,Broad_Rank,Broad_Rank_Pct,E_SARS_CoV_2,E_SARS_CoV_1,E_MERS_CoV,Docking_Rank,Docking_Rank_Pct
COC(=O)Nc1ccc(NC(=O)Nc2ccc(OC)cc2)cc1,True,Pass,True,Step3c+4a+4b,1.2368399536002324,1.2368399536002324,0.7186097392690911,1.5242838493078688,physically_promoted,0.0,0.8051501089331653,True,0,315.329,3.517500000000002,3,4,4,88.69,0.3433333333333333,False,0.863,3.25,-9.8667,-6.5843,3.2824,5.047,2.601,-5.188,-0.141,-1085.100822901676,74,32,1.613809595459042,0.0,-0.531,xtb_success,0.6915853418129874,0.7816666666666666,105,72,-33,315.33,3.52,0.805,B3LYP/6-31G*,4.771,0.3245,0.5736887501581235,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.25,mol_13,-7.7,1.0,0.027027027027027,-7.9,-7.7,-8.0,1.0,0.027027027027027
CC(=O)c1ccc(C(=O)NC(=O)NC(=O)c2ccc(C(C)=O)cc2)cc1,True,Pass,True,Step3c+4a+4b,1.2380400850664683,1.2380400850664683,0.565533887862621,1.4642536402115167,neutral,0.0,0.8211348545716151,True,0,352.34600000000006,2.371600000000001,2,5,4,109.41,0.19,False,0.924,3.312,-10.9405,-8.5644,2.3761,4.498,5.498,-6.882,-2.384,-1219.285567199526,90,58,1.725273422193391,0.0,-0.461,xtb_success,0.4229055540894588,0.8983333333333332,103,158,55,352.35,2.37,0.821,B3LYP/6-31G*,4.771,0.3245,-0.5674530028737959,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.312,mol_6,-7.6,2.0,0.054054054054054,-7.7,-7.7,-7.6,2.0,0.054054054054054
Cc1ccc(C(=O)NC(=O)C(=O)NC(=O)c2ccc(C)cc2)cc1,True,Pass,True,Step3c+4a+4b,1.227910423140074,1.227910423140074,0.5635867033460468,1.4533451044784926,neutral,0.0,0.8192371862811902,True,0,324.33600000000007,1.5164399999999991,2,4,2,92.34,0.19,False,0.924,3.301,-11.1145,-8.8214,2.293,4.378,0.001,-6.765,-2.388,-1105.9832412581904,8,86,1.8170817000052093,0.0,-0.433,xtb_success,0.400123861922924,0.945,153,169,16,324.34,1.52,0.819,B3LYP/6-31G*,4.771,0.3245,-0.8168828942468935,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.301,mol_7,-7.6,2.0,0.054054054054054,-7.9,-7.6,-8.4,2.0,0.054054054054054
CC(=O)NC(=O)c1ccc(C(=O)c2ccc(C(C)=O)cc2)cc1,True,Pass,True,Step3c+4a+4b,1.2414121936315052,1.2414121936315052,0.570610692608476,1.4696564706748956,neutral,0.0,0.8794109380380004,True,0,309.321,2.3965000000000005,1,4,4,80.31,0.1866666666666666,False,0.925,3.32,-10.9454,-8.5817,2.3636,4.273,5.79,-6.779,-2.506,-1050.5983803813265,56,54,1.757432080666142,0.0,-0.446,xtb_success,0.419443846583537,0.9233333333333336,86,154,68,309.32,2.4,0.879,B3LYP/6-31G*,4.771,0.3245,-1.0351340491983545,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.32,mol_5,-7.5,4.0,0.1081081081081081,-7.5,-7.5,-7.5,4.0,0.1081081081081081
CC(=O)NC(=O)NC(=O)c1ccccc1-c1ccc(C(C)=O)cc1,True,Pass,True,Step3c+4a+4b,1.2277981923652748,1.2277981923652748,0.6568301762739337,1.4905302628748482,neutral,0.0,0.8486709175565257,True,0,324.33600000000007,2.5421000000000005,2,4,3,92.34,0.4466666666666666,False,0.821,3.133,-10.9385,-8.112,2.8265,4.719,6.935,-6.645,-1.926,-1105.980583065259,90,71,1.9653726641298803,0.0,-0.462,xtb_success,0.5540431089627623,0.8966666666666667,155,125,-30,324.34,2.54,0.849,B3LYP/6-31G*,4.771,0.3245,-0.1080862862616747,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.133,mol_28,-7.5,4.0,0.1081081081081081,-7.5,-7.5,-7.8,4.0,0.1081081081081081
O=C(NC(=O)c1ccc(F)cc1)NC(=O)c1ccc(F)cc1,True,Pass,True,Step3c+4a+4b,1.229485700693376,1.229485700693376,0.7110613768581017,1.5139102514366165,physically_promoted,0.0,0.8932081089555287,True,0,304.252,2.2446,2,3,2,75.27,0.2777166647018104,False,0.889,3.292,-11.3776,-8.3046,3.073,5.271,5.019,-6.941,-1.67,-1112.4562713540886,23,44,1.6872844056311995,0.0,-0.458,xtb_success,0.6286591097972881,0.9033333333333334,145,85,-60,304.25,2.24,0.893,B3LYP/6-31G*,4.771,0.3245,1.0392912140545725,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.292,mol_8,-7.5,4.0,0.1081081081081081,-7.5,-7.5,-7.5,4.0,0.1081081081081081
CCc1ccc(C(=O)NNC(=O)c2ccc(F)cc2F)cc1F,True,Pass,True,Step3c+4a+4b,1.2295952703387996,1.2295952703387996,0.6551101036489854,1.4916393117983937,neutral,0.0,0.8538501436240145,True,0,322.286,2.741100000000001,2,2,3,58.2,0.4966666666666666,False,0.801,3.094,-10.8288,-7.9112,2.9177,4.748,0.832,-6.239,-1.491,-1176.9773841318984,71,58,1.9732980147320769,0.0,-0.504,xtb_success,0.5815858623556934,0.8266666666666667,144,122,-22,322.29,2.74,0.854,B3LYP/6-31G*,4.771,0.3245,-0.0478073958465096,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.094,mol_32,-7.5,4.0,0.1081081081081081,-7.6,-7.7,-7.5,4.0,0.1081081081081081
O=C(Nc1ccc2c(c1)OCCO2)c1ccc2c(c1)OCCO2,True,Pass,True,Step3c+4a+4b,1.25555686791487,1.25555686791487,0.6561823490995575,1.5180298075546932,neutral,0.0,0.922455793661252,True,0,313.3090000000001,2.4813,1,5,2,66.02,0.37,False,0.852,3.222,-10.1199,-7.1995,2.9204,4.614,3.924,-5.286,-0.673,-1087.6723442449777,77,66,1.967570994693292,0.0,-0.503,xtb_success,0.5824033558565108,0.8283333333333334,55,81,26,313.31,2.48,0.922,B3LYP/6-31G*,4.771,0.3245,-0.3263374412131358,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.222,mol_19,-7.3,8.0,0.2162162162162162,-7.3,-7.5,-7.8,8.0,0.2162162162162162
CN(C)C(=O)Nc1ccc(C(=O)c2ccc(C(=O)N(C)C)cc2)cc1,True,Pass,True,Step3c+4a+4b,1.24674854612331,1.24674854612331,0.5289380169689255,1.4583237529108803,neutral,0.0,0.8709014118801383,True,0,339.39500000000004,2.712900000000001,1,3,4,69.72,0.3066666666666666,False,0.877,3.213,-10.3678,-7.9233,2.4445,4.401,3.903,-5.979,-1.578,-1126.5987012840046,93,99,1.8870215981675929,0.0,-0.561,xtb_success,0.4420543099556078,0.7316666666666666,73,164,91,339.4,2.71,0.871,B3LYP/6-31G*,4.771,0.3245,-0.7690754984003838,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.213,mol_22,-7.3,8.0,0.2162162162162162,-7.3,-7.8,-7.5,8.0,0.2162162162162162
COC(=O)c1cccc(C(=O)NC(=O)Nc2ccc(C)nc2)c1,True,Pass,True,Step3c+4a+4b,1.221702210961818,1.221702210961818,0.460966460005731,1.4060887949641103,physically_filtered,0.0,0.8460879636063056,True,0,313.31300000000005,2.13852,2,5,3,97.39,0.46,False,0.816,3.038,-10.0413,-8.1207,1.9207,4.592,6.021,-6.294,-1.702,-1083.8972482969357,90,32,1.924384484512295,0.0,-0.506,xtb_success,0.3056663714367586,0.8233333333333334,194,199,5,313.31,2.14,0.846,B3LYP/6-31G*,4.771,0.3245,-0.3720662546315375,False,0.0,1.0,5.251,1.7300000000000004,7.778,6.981,8.711,False,0.0,1.0,False,1.0,1.0,3.038,mol_34,-7.2,10.0,0.2702702702702703,-7.2,-7.2,-7.5,10.0,0.2702702702702703
