SMILES,frequency,ndummys
*,0,1
N([*:1])[*:2],152232,2
O=C([*:1])[*:2],109319,2
C([*:1])[*:2],81141,2
CO[*:1],51514,1
O([*:1])[*:2],42902,2
c1ccc([*:1])cc1,35317,1
CC[*:1],35172,1
c1cc([*:2])ccc1[*:1],32166,2
O=C(C[*:1])[*:2],18434,2
C(C[*:2])[*:1],16656,2
c1cc([*:1])cc([*:2])c1,16604,2
O=C(C[*:2])[*:1],16234,2
S([*:1])[*:2],15405,2
O=S(=O)([*:1])[*:2],13433,2
CN([*:1])[*:2],13208,2
c1ccc([*:2])c([*:1])c1,12557,2
[NH2+]([*:1])[*:2],11651,2
C1CC1[*:1],11078,1
O=[N+]([O-])[*:1],10871,1
CC(C)[*:1],10707,1
N([*:1])([*:2])[*:3],9883,3
C1CN([*:2])CCN1[*:1],8856,2
N#C[*:1],8853,1
Fc1ccc([*:1])cc1,8605,1
CC(=O)[*:1],7258,1
C[C@@H]([*:1])[*:2],7002,2
Cc1ccc([*:1])cc1,6563,1
C[C@H]([*:1])[*:2],6521,2
Clc1ccc([*:1])cc1,6438,1
FC(F)(F)[*:1],6379,1
CCC[*:1],6342,1
c1csc([*:1])c1,6286,1
CC(C)(C)[*:1],5808,1
c1coc([*:1])c1,5453,1
O=C([O-])[*:1],5366,1
C1CN([*:1])CCO1,5149,1
CN(C)[*:1],4715,1
Fc1ccccc1[*:1],4538,1
NC(=O)[*:1],4402,1
O=C(C(=O)[*:2])[*:1],4170,2
c1ccc([*:1])nc1,3806,1
c1cncc([*:1])c1,3801,1
C1CN([*:2])CCC1[*:1],3728,2
Clc1ccccc1[*:1],3652,1
C[NH+](C)[*:1],3548,1
C(C[*:1])C[*:2],3522,2
Cc1ccccc1[*:1],3519,1
C1CCC([*:1])C1,3508,1
C1CCC([*:1])CC1,3507,1
C1CN([*:1])CCC1[*:2],3469,2
CS[*:1],3427,1
Fc1cccc([*:1])c1,3392,1
c1cc([*:1])c([*:3])cc1[*:2],3384,3
O=C(CC[*:1])[*:2],3366,2
C[NH+]([*:1])[*:2],3355,2
CS(=O)(=O)[*:1],3317,1
c1cc([*:1])ccn1,3204,1
CN[*:1],3190,1
Cc1cccc([*:1])c1,3140,1
Clc1cccc([*:1])c1,3113,1
O=C(CC[*:2])[*:1],3025,2
CC(C)C[*:1],3019,1
C1CCN([*:1])C1,2599,1
c1cc([*:2])c([*:3])cc1[*:1],2511,3
n1oc([*:1])nc1[*:2],2396,2
OC[*:1],2372,1
C[C@@H](C(=O)[*:2])[*:1],2230,2
C[C@H](C(=O)[*:2])[*:1],2138,2
C=CC[*:1],2108,1
C1CO[C@@H]([*:1])C1,2099,1
C[C@@H](C(=O)[*:1])[*:2],2083,2
c1cc2c(cc1[*:1])OCO2,2040,1
[NH+]([*:1])([*:2])[*:3],2026,3
c1sc([*:1])nc1[*:2],2008,2
C[NH2+][*:1],1971,1
C[C@H](C(=O)[*:1])[*:2],1968,2
Brc1ccc([*:1])cc1,1965,1
c1cc([*:2])oc1[*:1],1940,2
c1sc([*:2])nc1[*:1],1814,2
C1CCN([*:1])CC1,1796,1
C1CO[C@H]([*:1])C1,1763,1
C1C[NH+]([*:1])CCC1[*:2],1699,2
n1oc([*:2])nc1[*:1],1691,2
n1nc([*:2])oc1[*:1],1687,2
CCCC[*:1],1625,1
C1C[C@@H]([*:1])CN([*:2])C1,1616,2
c1cnn([*:1])c1,1606,1
C1C[C@H]([*:1])CN([*:2])C1,1596,2
c1cc([*:1])cs1,1538,1
n1nc([*:2])sc1[*:1],1524,2
C1C[NH+]([*:2])CCC1[*:1],1520,2
Cc1ccc([*:1])cc1[*:2],1501,2
C[C@H](C[*:1])[*:2],1488,2
FC(F)(F)C[*:1],1478,1
c1cc([*:3])c([*:1])cc1[*:2],1473,3
C[C@@H](C[*:1])[*:2],1450,2
c1csc([*:1])n1,1423,1
Fc1ccc([*:1])c(F)c1,1421,1
C1CC[NH+]([*:1])C1,1404,1
C1C[NH+]([*:1])CCN1[*:2],1387,2
Cc1ccc([*:1])cc1C,1340,1
Fc1ccc([*:1])cc1F,1336,1
C1C[C@H]([*:2])CN([*:1])C1,1331,2
OCC[*:1],1316,1
[NH3+]C[*:1],1309,1
c1cc2c(cc1[*:1])OCCO2,1301,1
O=C([O-])C[*:1],1269,1
[C@H]([*:1])([*:2])[*:3],1264,3
O=C(C=C[*:2])[*:1],1262,2
c1cc([*:2])ncc1[*:1],1262,2
C1C[C@@H]([*:2])CN([*:1])C1,1240,2
[C@@H]([*:1])([*:2])[*:3],1230,3
O=C(C=C[*:1])[*:2],1224,2
Cn1cc([*:1])cn1,1188,1
FC(F)O[*:1],1187,1
c1cc([*:1])ncc1[*:2],1164,2
C1C[NH+]([*:2])CCN1[*:1],1155,2
Cc1noc(C)c1[*:1],1127,1
O=C1CCCN1[*:1],1088,1
Brc1cccc([*:1])c1,1087,1
c1ccc2sc([*:1])nc2c1,1087,1
Cc1ccc([*:1])c(C)c1,1083,1
Cc1ccc(C)c([*:1])c1,1081,1
[N-]([*:1])[*:2],1078,2
Clc1ccc([*:1])c(Cl)c1,1071,1
C1CC([*:1])C1,1070,1
c1ncn([*:1])n1,1057,1
c1ccc2c([*:1])cccc2c1,1054,1
Cc1ccc([*:1])o1,1052,1
c1nn([*:2])cc1[*:1],1052,2
C1CC[NH+]([*:1])CC1,1043,1
Cc1csc([*:1])n1,1025,1
Cc1cc([*:1])ccc1[*:2],999,2
Cc1cc(C)cc([*:1])c1,960,1
c1cnc([*:1])nc1,947,1
CCC(=O)[*:1],944,1
C1C[C@@H]([*:2])N([*:1])C1,937,2
NS(=O)(=O)[*:1],936,1
C#CC[*:1],931,1
C1C[C@H]([*:2])N([*:1])C1,927,2
Cc1cc([*:1])no1,924,1
Oc1ccc([*:1])cc1,920,1
NC(=O)C[*:1],917,1
Clc1ccc([*:1])cc1Cl,902,1
Fc1cccc(F)c1[*:1],899,1
C1CC([*:1])CCO1,881,1
c1nc([*:2])sc1[*:1],881,2
Fc1cc([*:2])ccc1[*:1],877,2
Brc1ccccc1[*:1],870,1
Cc1ccc([*:1])c([*:2])c1,856,2
O[C@@H](C[*:1])[*:2],853,2
c1ccc2c([*:1])c[nH]c2c1,848,1
O=S1(=O)CC[C@@H]([*:1])C1,848,1
C[NH+]1CCN([*:1])CC1,846,1
C1CC([*:2])CCC1[*:1],843,2
CC[C@@H](C)[*:1],839,1
C1CCC([*:1])([*:2])C1,832,2
c1ccc2cc([*:1])ccc2c1,824,1
CC[C@H](C)[*:1],823,1
C([C@H]([*:1])[*:3])[*:2],820,3
N#CC[*:1],819,1
Cc1nn([*:1])c(C)c1[*:2],802,2
Clc1ccc([*:1])cc1[*:2],800,2
O=S1(=O)CC[C@H]([*:1])C1,795,1
Cc1cccc([*:1])c1C,790,1
C([C@@H]([*:1])[*:3])[*:2],786,3
S=C(N[*:1])N[*:2],783,2
c1c([*:1])noc1[*:2],777,2
Clc1ccc([*:1])c([*:2])c1,777,2
C1C[C@H]([*:1])N([*:2])C1,774,2
CC(C)CC[*:1],752,1
O[C@H](C[*:1])[*:2],750,2
c1nn([*:1])cc1[*:2],747,2
c1cnc([*:1])c([*:2])c1,737,2
C1CC1([*:1])[*:2],735,2
O=C(NNC(=O)[*:2])[*:1],732,2
Cc1ccc([*:1])cc1F,726,1
c1cn([*:1])cn1,725,1
Clc1cc([*:2])ccc1[*:1],719,2
C1C[C@@H]([*:1])N([*:2])C1,719,2
Fc1ccc(F)c([*:1])c1,717,1
n1nc([*:1])n([*:2])n1,717,2
Clc1ccc([*:1])s1,709,1
Fc1cc([*:1])ccc1[*:2],708,2
C1CCCN([*:1])CC1,706,1
O=C(CCC[*:1])[*:2],702,2
Cc1ccc([*:1])s1,698,1
c1cc([*:2])sc1[*:1],698,2
O=C[*:1],696,1
Clc1ccc([*:2])cc1[*:1],696,2
c1cc([*:1])cc([*:2])n1,693,2
O=C1C[C@@H]([*:1])CN1[*:2],691,2
O=C1C[C@H]([*:1])CN1[*:2],666,2
