smiles,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status
COCc1ccc(CN2CCN(C(=O)c3cccc(OC)c3)CC2)cc1,-9.7743,-6.4834,3.2908,-0.543,xtb_success
Cc1cccc(Cc2ccc(C(=O)N3CCC(NC(=O)C(C)C)CC3)o2)c1,-10.4968,-7.0129,3.484,-0.551,xtb_success
COCc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1,-9.2905,-6.737,2.5535,-0.542,xtb_success
CC(C)(C)c1ccc(C(=O)N2CCN(CCc3ccccn3)CC2)cc1,-9.7234,-6.7071,3.0164,-0.549,xtb_success
COCc1ccc(C(=O)N2CCN(CC3CCCCC3)CC2)cc1,-9.3459,-6.5863,2.7596,-0.549,xtb_success
COCc1ccc(C(=O)N2CCN(C3CCCCC3)CC2)cc1,-9.3722,-6.7372,2.6351,-0.551,xtb_success
Cc1ccc(CCc2ccc(S(=O)(=O)C(C)C)cc2)cc1F,-10.7096,-6.9798,3.7298,-0.648,xtb_success
NC(=O)Cc1ccc(-c2ccc(-c3ccc(CC(N)=O)cc3)cc2)cc1,-10.179,-6.9135,3.2655,-0.533,xtb_success
CNCc1ccc(C(=O)Nc2ccc3c(c2)CCCN3S(C)(=O)=O)cc1,-9.7527,-7.1696,2.5831,-0.652,xtb_success
O=C([O-])c1ccc(C(=O)NCc2ccc(C3CCCCC3)cc2)s1,-10.9258,-8.0569,2.8689,-0.545,xtb_success
O=C(Nc1ccc(Cc2ccccn2)cc1)N1CCN(C(=O)C2CCCCC2)CC1,-9.9576,-6.6896,3.268,-0.559,xtb_success
CC(C)(C)c1ccc(Cc2cc(CCCC(N)=O)ccn2)cc1,-9.984,-6.6073,3.3767,-0.529,xtb_success
COCc1ccc(C(=O)N2CCN(c3ccccn3)CC2)cc1,-9.7007,-6.5897,3.111,-0.542,xtb_success
CCCc1ccc(OC)cc1N1CCN(c2ccc(F)c(C)c2)CC1,-9.1956,-6.1287,3.0669,-0.317,xtb_success
COc1ccc(Cc2ccc(C(=O)NC3=CCCCO3)cn2)cc1,-10.0568,-7.4554,2.6013,-0.506,xtb_success
CC(C)(C)c1ccc(CC[C@H]2CCN(C(=O)c3ccccn3)C2)cc1,-10.2211,-7.4103,2.8108,-0.561,xtb_success
COc1cc(-c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,-10.2405,-6.8039,3.4366,-0.332,xtb_success
Cc1ccccc1-c1cnc(C(=O)NC[C@H]2CCCCO2)cn1,-10.032,-8.069,1.963,-0.523,xtb_success
COc1cc(OC)c(OC)c(-c2cc(OC)c(OC)c(OC)c2)c1,-10.1232,-6.6963,3.4269,-0.329,xtb_success
COCc1ccc(OC)c(C(=O)N2CCN(c3ccccc3)CC2)c1,-9.4403,-6.4112,3.0291,-0.537,xtb_success
CCCc1ccc(-c2nc(C(C)(C)C)cs2)cc1CC(N)=O,-10.2796,-7.476,2.8036,-0.533,xtb_success
COc1ccc(CC2CCC(N3CCN(C(=O)c4ccccc4)CC3)CC2)cc1,-9.2833,-6.6761,2.6072,-0.55,xtb_success
COc1cc(OC)c(OC)c(-c2cc(C)c(OC)cc2OC)c1,-9.9151,-6.4264,3.4887,-0.339,xtb_success
COCc1ccc(CCN2CCN(C(=O)C3(OC)CCCCC3)CC2)cc1,-9.4291,-5.989,3.4401,-0.533,xtb_success
O=C(Nc1cc(F)ccc1Cl)c1ccc(-c2cncnc2)cc1,-10.2484,-7.8998,2.3486,-0.482,xtb_success
COCCN(C)C(=O)Nc1cc(C(=O)c2cc(Cl)ccc2C)ccc1F,-10.4481,-8.0281,2.4199,-0.553,xtb_success
COCCN(C)C(=O)c1cc(C(=O)N2CCC(C)CC2)ccc1F,-10.761,-6.9876,3.7735,-0.53,xtb_success
COCc1ccc(Cc2ccccn2)cc1C(=O)N1CCCCC1,-10.059,-6.7418,3.3172,-0.552,xtb_success
Cc1ccc(N(CCC(C)(C)C)Cc2ccc(CC(N)=O)cc2)cc1,-9.1636,-6.2032,2.9604,-0.533,xtb_success
COCc1ccc(C(=O)N(c2ccccn2)C2CCCCC2)cc1,-10.307,-7.0745,3.2325,-0.514,xtb_success
CCCc1cc(-c2ccc(-c3cc(CC(N)=O)ccn3)cc2)ccn1,-9.93,-7.3682,2.5618,-0.529,xtb_success
Cc1ccc(Cc2ccc(CS(=O)(=O)C(C)C)cc2)cc1F,-10.6141,-6.4863,4.1277,-0.646,xtb_success
COCCc1ccc(Cc2ccc(C(C)(C)C)cc2C#CCO)cc1,-10.2667,-6.4669,3.7998,-0.512,xtb_success
CC(C)(C)c1ccc(CCCc2cc(CCCC(N)=O)ccn2)cc1,-9.933,-6.5721,3.3609,-0.53,xtb_success
NC(=O)Cc1ccc(-c2ccc(-c3cc(CC(N)=O)ccn3)cc2)cc1,-10.0275,-7.2214,2.8061,-0.533,xtb_success
NC(=O)CCc1ccc(Cc2ccc(-c3ccccn3)cc2)cc1,-9.9836,-7.0653,2.9183,-0.538,xtb_success
NC(=O)CCc1ccc(Cc2ccc(CCC(N)=O)cc2)cc1,-10.3931,-6.0905,4.3025,-0.538,xtb_success
NC(=O)CCCc1ccc(CCCc2ccc(CC(N)=O)cc2)cc1,-10.3492,-6.1014,4.2478,-0.535,xtb_success
COCc1ccc(Cc2ccc(Cc3cc(OC)ccn3)cc2)cc1,-10.0806,-6.4429,3.6377,-0.351,xtb_success
CC(C)S(=O)(=O)c1ccc(Cc2ccc(S(=O)(=O)C(C)C)cc2)cc1,-11.0825,-7.134,3.9486,-0.649,xtb_success
NC(=O)Cc1ccnc(-c2ccc(C(F)F)c(CC(F)(F)F)c2)c1,-10.1549,-7.5233,2.6316,-0.527,xtb_success
O=C(OCN1CCN(C2CCCCC2)CC1)c1cccc(Cc2ccccc2)c1,-9.405,-7.5975,1.8075,-0.488,xtb_success
NC(=O)CCc1ccc(CCc2ccc(CC(N)=O)cc2)cc1,-10.298,-6.021,4.2769,-0.544,xtb_success
COc1ccc(Cn2cc(CNC(=O)C3=C(C)N=N[C@@H]3C)ccc2=O)cc1,-10.33,-8.3635,1.9665,-0.562,xtb_success
COCCc1ccc(Cc2nc(CC3(O)CCCCC3)cs2)cc1,-10.4939,-7.0618,3.4321,-0.51,xtb_success
COCCc1ccc(Cc2ccc(Cc3cc(OC)ccn3)cc2)cc1,-10.0701,-6.4456,3.6246,-0.349,xtb_success
NC(=O)CCCc1ccc(CCc2cc(CC(N)=O)ccn2)cc1,-10.0015,-6.7195,3.2821,-0.53,xtb_success
COc1cc(OC)c(OC)c(-c2cc(OC)cc(OC)c2OC)c1,-10.0321,-6.5478,3.4843,-0.335,xtb_success
O=C(c1ccc(N2CCN(C(=O)NCc3ccccc3)CC2)nc1)c1ccccc1F,-9.9682,-7.9294,2.0389,-0.578,xtb_success
COCc1ccc(C(=O)c2ccc(N3CCCCC3)nc2)cc1,-9.9685,-7.7484,2.2201,-0.488,xtb_success
COc1ccc(/C=C\COCC(N)=O)cc1-c1ccc(F)c(F)c1,-10.2435,-7.1157,3.1277,-0.537,xtb_success
COc1ccc(C(=O)c2ccc(F)c(F)c2)cc1-c1ccccn1,-10.0573,-8.1463,1.911,-0.434,xtb_success
NC(=O)Cc1ccnc(-c2ccc(CC(N)=O)cc2CC(F)(F)F)c1,-10.2647,-7.2167,3.048,-0.53,xtb_success
Cc1ccc(-c2nc(C[C@H](O)CC(=O)OC(C)C)cs2)cc1,-10.3879,-7.6124,2.7755,-0.488,xtb_success
COCc1ccc(Cc2cccc(C(=O)N3CC[C@H](OC)C3)c2)cc1,-10.6175,-6.7583,3.8591,-0.55,xtb_success
Cc1cccc(Cc2ccc(C(=O)N3CCN([N-]C(=O)C(C)C)CC3)o2)c1,-9.1929,-7.1042,2.0887,-0.544,xtb_success
COCc1ccc(Cc2ccc(CCC3CC[NH+](C)CC3)cc2)cc1,-5.3727,-4.9845,0.3882,-0.381,xtb_success
COCCc1ccc(CC(=O)C(C)(C)c2ccc(C)cc2)cc1,-10.1954,-7.0526,3.1429,-0.423,xtb_success
COCCN(C)C(=O)c1cc(Cc2ccnc(OC)c2)ccc1C,-10.2719,-6.6956,3.5762,-0.546,xtb_success
NC(=O)Cc1ccc(C(=O)N2CCN(Cc3csc(=O)[nH]3)CC2)cc1,-9.7417,-6.6482,3.0935,-0.546,xtb_success
